name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:max_samples,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
config_id=1_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.5705046408618194,1842802688,1842937856,135168,128000000,130129920,2129920,bytes,0.0,0.05843663215637207,0.05843663215637207,wall,seconds,0.0,0.05843663215637207
config_id=2_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8181709823275344,1842802688,1842937856,135168,127836160,130129920,2293760,bytes,8.344650268554688e-06,0.059266090393066406,0.05925774574279785,wall,seconds,8.344650268554688e-06,0.059266090393066406
config_id=3_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.8132245835797665,1842937856,1843077120,139264,130129920,130129920,0,bytes,0.06590437889099121,0.12233161926269531,0.0564272403717041,wall,seconds,0.06590437889099121,0.12233161926269531
config_id=4_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7526699818461472,1842937856,1843077120,139264,130293760,130293760,0,bytes,0.06918931007385254,0.12430906295776367,0.05511975288391113,wall,seconds,0.06918931007385254,0.12430906295776367
config_id=5_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.12871166849348264,1843077120,1843077120,0,130129920,130129920,0,bytes,0.12931561470031738,0.19426870346069336,0.06495308876037598,wall,seconds,0.12931561470031738,0.19426870346069336
config_id=6_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.6534060654071071,1843077120,1843077120,0,130293760,130457600,163840,bytes,0.1317884922027588,0.19452428817749023,0.06273579597473145,wall,seconds,0.1317884922027588,0.19452428817749023
config_id=7_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.4029447536043266,1843077120,1843077120,0,130129920,130129920,0,bytes,0.20142340660095215,0.26610851287841797,0.06468510627746582,wall,seconds,0.20142340660095215,0.26610851287841797
config_id=8_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.5148087563584646,1843077120,1843077120,0,130457600,130457600,0,bytes,0.2053663730621338,0.27216053009033203,0.06679415702819824,wall,seconds,0.2053663730621338,0.27216053009033203
config_id=9_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.6263611724470504,1843077120,1843077120,0,130129920,130129920,0,bytes,0.27201271057128906,0.3369429111480713,0.06493020057678223,wall,seconds,0.27201271057128906,0.3369429111480713
config_id=10_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.25508017430635865,1843077120,1843077120,0,130457600,130457600,0,bytes,0.34661126136779785,0.4002995491027832,0.05368828773498535,wall,seconds,0.34661126136779785,0.4002995491027832
config_id=11_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.8137186608368585,1843077120,1843077120,0,130129920,130129920,0,bytes,0.3528430461883545,0.4080941677093506,0.055251121520996094,wall,seconds,0.3528430461883545,0.4080941677093506
config_id=12_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.812583494901358,1843077120,1843077120,0,130457600,130457600,0,bytes,0.40570735931396484,0.4596281051635742,0.053920745849609375,wall,seconds,0.40570735931396484,0.4596281051635742
config_id=13_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.8129596022235295,1843077120,1843077120,0,130129920,130293760,163840,bytes,0.41424131393432617,0.4722177982330322,0.057976484298706055,wall,seconds,0.41424131393432617,0.4722177982330322
config_id=14_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.8126952264999379,1843077120,1843077120,0,130457600,130457600,0,bytes,0.4647824764251709,0.5211923122406006,0.05640983581542969,wall,seconds,0.4647824764251709,0.5211923122406006
config_id=3_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.8132245835797665,1843077120,1843077120,0,130293760,130293760,0,bytes,0.4795081615447998,0.5343942642211914,0.0548861026763916,wall,seconds,0.4795081615447998,0.5343942642211914
config_id=4_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7526699818461472,1843077120,1843077120,0,130457600,130457600,0,bytes,0.5260679721832275,0.5794417858123779,0.05337381362915039,wall,seconds,0.5260679721832275,0.5794417858123779
config_id=5_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.12871166849348264,1843077120,1843077120,0,130293760,130293760,0,bytes,0.5390167236328125,0.5906515121459961,0.051634788513183594,wall,seconds,0.5390167236328125,0.5906515121459961
config_id=15_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.8122748249230469,1843077120,1843077120,0,130457600,130457600,0,bytes,0.5840198993682861,0.638167142868042,0.05414724349975586,wall,seconds,0.5840198993682861,0.638167142868042
config_id=16_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.8132517420315107,1843077120,1843077120,0,130293760,130293760,0,bytes,0.595365047454834,0.6496737003326416,0.05430865287780762,wall,seconds,0.595365047454834,0.6496737003326416
config_id=17_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.8125724031389568,1843077120,1843077120,0,130457600,130457600,0,bytes,0.6431179046630859,0.6989176273345947,0.05579972267150879,wall,seconds,0.6431179046630859,0.6989176273345947
config_id=18_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.8131656708113354,1843077120,1843077120,0,130293760,130293760,0,bytes,0.7025229930877686,0.7586784362792969,0.05615544319152832,wall,seconds,0.7025229930877686,0.7586784362792969
config_id=19_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.24302441587998125,1843077120,1843077120,0,130457600,130457600,0,bytes,0.7052285671234131,0.7588009834289551,0.05357241630554199,wall,seconds,0.7052285671234131,0.7588009834289551
config_id=20_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.5493494864089263,1843077120,1843077120,0,130293760,130293760,0,bytes,0.7676575183868408,0.8291013240814209,0.06144380569458008,wall,seconds,0.7676575183868408,0.8291013240814209
config_id=21_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.7162015465107202,1843077120,1843077120,0,130457600,130457600,0,bytes,0.7716593742370605,0.8328216075897217,0.06116223335266113,wall,seconds,0.7716593742370605,0.8328216075897217
config_id=22_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.2913745729596876,1843077120,1843077120,0,130293760,130293760,0,bytes,0.8390145301818848,0.898470401763916,0.05945587158203125,wall,seconds,0.8390145301818848,0.898470401763916
config_id=23_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.78610042493581,1843077120,1843077120,0,130457600,130457600,0,bytes,0.8411712646484375,0.9041445255279541,0.0629732608795166,wall,seconds,0.8411712646484375,0.9041445255279541
config_id=25_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.6050024524508363,1843077120,1843077120,0,130457600,130457600,0,bytes,0.9096453189849854,0.9643242359161377,0.054678916931152344,wall,seconds,0.9096453189849854,0.9643242359161377
config_id=24_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.3038448111537174,1843077120,1843077120,0,130293760,130293760,0,bytes,0.9063014984130859,0.9652841091156006,0.05898261070251465,wall,seconds,0.9063014984130859,0.9652841091156006
config_id=26_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.7715983383309648,1843077120,1843077120,0,130457600,130457600,0,bytes,0.9725947380065918,1.0287508964538574,0.056156158447265625,wall,seconds,0.9725947380065918,1.0287508964538574
config_id=11_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.8137186608368585,1843077120,1843077120,0,130293760,130293760,0,bytes,0.9759612083435059,1.0314087867736816,0.05544757843017578,wall,seconds,0.9759612083435059,1.0314087867736816
config_id=3_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8132245835797665,1843077120,1843077120,0,130457600,130457600,0,bytes,1.0376276969909668,1.0924174785614014,0.05478978157043457,wall,seconds,1.0376276969909668,1.0924174785614014
config_id=20_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.5493494864089263,1843077120,1843077120,0,130293760,130293760,0,bytes,1.0426366329193115,1.0965354442596436,0.05389881134033203,wall,seconds,1.0426366329193115,1.0965354442596436
config_id=22_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.8947368421052632,0.2913745729596876,1843077120,1843077120,0,130293760,130293760,0,bytes,1.1042282581329346,1.1564123630523682,0.052184104919433594,wall,seconds,1.1042282581329346,1.1564123630523682
config_id=21_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.8947368421052632,0.7162015465107202,1843077120,1843077120,0,130457600,130457600,0,bytes,1.1028227806091309,1.1568384170532227,0.0540156364440918,wall,seconds,1.1028227806091309,1.1568384170532227
config_id=27_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.46883151703394466,1843077120,1843077120,0,130293760,130293760,0,bytes,1.2096812725067139,1.2667567729949951,0.05707550048828125,wall,seconds,1.2096812725067139,1.2667567729949951
config_id=28_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.7171561106868503,1843077120,1843077120,0,130457600,130457600,0,bytes,1.211775302886963,1.2693982124328613,0.05762290954589844,wall,seconds,1.211775302886963,1.2693982124328613
config_id=29_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.15385973355121418,1843077120,1843077120,0,130293760,130293760,0,bytes,1.2747454643249512,1.3389570713043213,0.06421160697937012,wall,seconds,1.2747454643249512,1.3389570713043213
config_id=30_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.6435288940426006,1843077120,1843077120,0,130457600,130457600,0,bytes,1.2783806324005127,1.3429999351501465,0.06461930274963379,wall,seconds,1.2783806324005127,1.3429999351501465
config_id=31_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.868421052631579,0.48478730583971674,1843077120,1843077120,0,130293760,130293760,0,bytes,1.346163272857666,1.4068050384521484,0.06064176559448242,wall,seconds,1.346163272857666,1.4068050384521484
config_id=20_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.868421052631579,0.5493494864089263,1843077120,1843077120,0,130457600,130457600,0,bytes,1.3502638339996338,1.410292148590088,0.0600283145904541,wall,seconds,1.3502638339996338,1.410292148590088
config_id=27_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.46883151703394466,1843077120,1843077120,0,130293760,130293760,0,bytes,1.416006088256836,1.478227138519287,0.06222105026245117,wall,seconds,1.416006088256836,1.478227138519287
config_id=32_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.3150361909954833,1843077120,1843077120,0,130457600,130457600,0,bytes,1.4198188781738281,1.4786949157714844,0.05887603759765625,wall,seconds,1.4198188781738281,1.4786949157714844
config_id=33_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.620628731298664,1843077120,1843077120,0,130293760,130293760,0,bytes,1.485551118850708,1.5423450469970703,0.056793928146362305,wall,seconds,1.485551118850708,1.5423450469970703
config_id=34_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.3633651261869174,1843077120,1843077120,0,130457600,130457600,0,bytes,1.4879748821258545,1.5425236225128174,0.05454874038696289,wall,seconds,1.4879748821258545,1.5425236225128174
config_id=35_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.8947368421052632,0.5085128449401214,1843077120,1843077120,0,130293760,130293760,0,bytes,1.668409824371338,1.7290537357330322,0.060643911361694336,wall,seconds,1.668409824371338,1.7290537357330322
config_id=36_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.8947368421052632,0.800297050269603,1843077120,1843077120,0,130457600,130457600,0,bytes,1.6706502437591553,1.731234073638916,0.06058382987976074,wall,seconds,1.6706502437591553,1.731234073638916
config_id=37_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.2293029683550299,1843077120,1843077120,0,130293760,130293760,0,bytes,1.7388930320739746,1.7952091693878174,0.05631613731384277,wall,seconds,1.7388930320739746,1.7952091693878174
config_id=38_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.7994374485966503,1843077120,1843077120,0,130457600,130457600,0,bytes,1.7430362701416016,1.7997844219207764,0.056748151779174805,wall,seconds,1.7430362701416016,1.7997844219207764
config_id=40_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8058310217513897,1843077120,1843077120,0,130457600,130457600,0,bytes,1.8071868419647217,1.8627822399139404,0.05559539794921875,wall,seconds,1.8071868419647217,1.8627822399139404
config_id=39_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8097895580662025,1843077120,1843077120,0,130293760,130293760,0,bytes,1.8061583042144775,1.8660314083099365,0.059873104095458984,wall,seconds,1.8061583042144775,1.8660314083099365
config_id=41_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.47346995900029387,1843077120,1843077120,0,130457600,130457600,0,bytes,1.8701722621917725,1.926551103591919,0.056378841400146484,wall,seconds,1.8701722621917725,1.926551103591919
config_id=42_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.48141117541054457,1843077120,1843077120,0,130293760,130293760,0,bytes,1.8732914924621582,1.929541826248169,0.05625033378601074,wall,seconds,1.8732914924621582,1.929541826248169
config_id=43_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8051481423483619,1843077120,1843077120,0,130457600,130457600,0,bytes,1.9376084804534912,2.0005929470062256,0.06298446655273438,wall,seconds,1.9376084804534912,2.0005929470062256
config_id=44_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8019407044221504,1843077120,1843077120,0,130293760,130293760,0,bytes,1.9417753219604492,2.002194881439209,0.060419559478759766,wall,seconds,1.9417753219604492,2.002194881439209
config_id=45_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.5738296149246503,1843077120,1843077120,0,130457600,130457600,0,bytes,2.0084948539733887,2.067995548248291,0.059500694274902344,wall,seconds,2.0084948539733887,2.067995548248291
config_id=46_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7978817746772493,1843077120,1843077120,0,130293760,130293760,0,bytes,2.0140888690948486,2.0804758071899414,0.06638693809509277,wall,seconds,2.0140888690948486,2.0804758071899414
config_id=47_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8027878162619865,1843077120,1843077120,0,130457600,130457600,0,bytes,2.0746495723724365,2.1398024559020996,0.06515288352966309,wall,seconds,2.0746495723724365,2.1398024559020996
config_id=48_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.8087141430209742,1843077120,1843077120,0,130293760,130293760,0,bytes,2.086287260055542,2.1520802974700928,0.06579303741455078,wall,seconds,2.086287260055542,2.1520802974700928
config_id=37_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.2293029683550299,1843077120,1843077120,0,130457600,130457600,0,bytes,2.150289297103882,2.2126049995422363,0.06231570243835449,wall,seconds,2.150289297103882,2.2126049995422363
config_id=38_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.7994374485966503,1843077120,1843077120,0,130293760,130293760,0,bytes,2.157485008239746,2.2195088863372803,0.06202387809753418,wall,seconds,2.157485008239746,2.2195088863372803
config_id=41_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,1.0,0.47346995900029387,1843077120,1843077120,0,130457600,130457600,0,bytes,2.2194290161132812,2.2842276096343994,0.06479859352111816,wall,seconds,2.2194290161132812,2.2842276096343994
config_id=46_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7978817746772493,1843077120,1843077120,0,130293760,130293760,0,bytes,2.2273809909820557,2.29658842086792,0.06920742988586426,wall,seconds,2.2273809909820557,2.29658842086792
config_id=41_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.47346995900029387,1843077120,1843077120,0,130457600,130457600,0,bytes,2.2911596298217773,2.356950283050537,0.06579065322875977,wall,seconds,2.2911596298217773,2.356950283050537
config_id=49_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.8041775261635309,1843077120,1843077120,0,130293760,130293760,0,bytes,2.3697924613952637,2.435551404953003,0.06575894355773926,wall,seconds,2.3697924613952637,2.435551404953003
config_id=50_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.8055253515878208,1843077120,1843077120,0,130457600,130457600,0,bytes,2.373703718185425,2.439202308654785,0.06549859046936035,wall,seconds,2.373703718185425,2.439202308654785
config_id=51_seed=378518883_budget=100.0_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7989484283044295,1843077120,1843077120,0,130293760,130293760,0,bytes,2.445483684539795,2.511613130569458,0.06612944602966309,wall,seconds,2.445483684539795,2.511613130569458
config_id=52_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.7983195660869609,1843077120,1843077120,0,130457600,130457600,0,bytes,2.5460121631622314,2.612720489501953,0.06670832633972168,wall,seconds,2.5460121631622314,2.612720489501953
config_id=53_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9473684210526315,0.7981443704343681,1843077120,1843077120,0,130293760,130293760,0,bytes,2.5484349727630615,2.6133029460906982,0.06486797332763672,wall,seconds,2.5484349727630615,2.6133029460906982
config_id=54_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7222468276937943,1843077120,1843077120,0,130457600,130457600,0,bytes,2.6212847232818604,2.689260482788086,0.06797575950622559,wall,seconds,2.6212847232818604,2.689260482788086
config_id=55_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7993166741236959,1843077120,1843077120,0,130293760,130293760,0,bytes,2.625673532485962,2.69010066986084,0.06442713737487793,wall,seconds,2.625673532485962,2.69010066986084
config_id=57_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7996797385595866,1843077120,1843077120,0,130293760,130293760,0,bytes,2.704294443130493,2.767686367034912,0.06339192390441895,wall,seconds,2.704294443130493,2.767686367034912
config_id=56_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9736842105263158,0.7979402474440763,1843077120,1843212288,135168,130457600,130457600,0,bytes,2.7010083198547363,2.7686171531677246,0.06760883331298828,wall,seconds,2.7010083198547363,2.7686171531677246
config_id=58_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.46752757251830346,1843077120,1843077120,0,130293760,130293760,0,bytes,2.7773168087005615,2.839564323425293,0.062247514724731445,wall,seconds,2.7773168087005615,2.839564323425293
config_id=59_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.9210526315789473,0.46140553575097587,1843212288,1843212288,0,130457600,130457600,0,bytes,2.779862880706787,2.8425254821777344,0.06266260147094727,wall,seconds,2.779862880706787,2.8425254821777344
config_id=60_seed=378518883_budget=11.11111111111111_instance=None,success,378518883,NA,NA,smac-doc-example,0.868421052631579,0.462486473645107,1843077120,1843077120,0,130293760,130293760,0,bytes,2.8520748615264893,2.91823673248291,0.0661618709564209,wall,seconds,2.8520748615264893,2.91823673248291
config_id=61_seed=378518883_budget=33.33333333333333_instance=None,success,378518883,NA,NA,smac-doc-example,0.868421052631579,0.47446600082745194,1843212288,1843212288,0,130457600,130457600,0,bytes,2.8549253940582275,2.9184134006500244,0.06348800659179688,wall,seconds,2.8549253940582275,2.9184134006500244
